
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp4.dat""
# Contour 0, label:      1.2
 1 -2  1.2 

-2 -1  1.2 

 2  1  1.2 

-1  2  1.2 


# Contour 1, label:        1
 0.598468 -2  1 
 0.6 -1.99733  1 
 0.684678 -1.9  1 
 0.7 -1.88547  1 
 0.8 -1.83604  1 
 0.9 -1.82517  1 
 1 -1.83932  1 
 1.1 -1.87041  1 
 1.16672 -1.9  1 
 1.2 -1.91355  1 
 1.3 -1.96545  1 
 1.35717 -2  1 

-2 -0.598468  1 
-1.99733 -0.6  1 
-1.9 -0.684678  1 
-1.88547 -0.7  1 
-1.83604 -0.8  1 
-1.82517 -0.9  1 
-1.83932 -1  1 
-1.87041 -1.1  1 
-1.9 -1.16672  1 
-1.91355 -1.2  1 
-1.96545 -1.3  1 
-2 -1.35717  1 

 2  1.35717  1 
 1.96545  1.3  1 
 1.91355  1.2  1 
 1.9  1.16672  1 
 1.87041  1.1  1 
 1.83932  1  1 
 1.82517  0.9  1 
 1.83604  0.8  1 
 1.88547  0.7  1 
 1.9  0.684678  1 
 1.99733  0.6  1 
 2  0.598468  1 

-1.35717  2  1 
-1.3  1.96545  1 
-1.2  1.91355  1 
-1.16672  1.9  1 
-1.1  1.87041  1 
-1  1.83932  1 
-0.9  1.82517  1 
-0.8  1.83604  1 
-0.7  1.88547  1 
-0.684678  1.9  1 
-0.6  1.99733  1 
-0.598468  2  1 


# Contour 2, label:      0.8
 0.442769 -2  0.8 
 0.479496 -1.9  0.8 
 0.5 -1.85177  0.8 
 0.531131 -1.8  0.8 
 0.6 -1.70852  0.8 
 0.611702 -1.7  0.8 
 0.7 -1.64699  0.8 
 0.8 -1.63237  0.8 
 0.9 -1.6465  0.8 
 1 -1.6792  0.8 
 1.04348 -1.7  0.8 
 1.1 -1.72464  0.8 
 1.2 -1.77916  0.8 
 1.23236 -1.8  0.8 
 1.3 -1.84042  0.8 
 1.38873 -1.9  0.8 
 1.4 -1.90706  0.8 
 1.5 -1.9776  0.8 
 1.52908 -2  0.8 

-2 -0.442769  0.8 
-1.9 -0.479496  0.8 
-1.85177 -0.5  0.8 
-1.8 -0.531131  0.8 
-1.70852 -0.6  0.8 
-1.7 -0.611702  0.8 
-1.64699 -0.7  0.8 
-1.63237 -0.8  0.8 
-1.6465 -0.9  0.8 
-1.6792 -1  0.8 
-1.7 -1.04348  0.8 
-1.72464 -1.1  0.8 
-1.77916 -1.2  0.8 
-1.8 -1.23236  0.8 
-1.84042 -1.3  0.8 
-1.9 -1.38873  0.8 
-1.90706 -1.4  0.8 
-1.9776 -1.5  0.8 
-2 -1.52908  0.8 

 2  1.52908  0.8 
 1.9776  1.5  0.8 
 1.90706  1.4  0.8 
 1.9  1.38873  0.8 
 1.84042  1.3  0.8 
 1.8  1.23236  0.8 
 1.77916  1.2  0.8 
 1.72464  1.1  0.8 
 1.7  1.04348  0.8 
 1.6792  1  0.8 
 1.6465  0.9  0.8 
 1.63237  0.8  0.8 
 1.64699  0.7  0.8 
 1.7  0.611702  0.8 
 1.70852  0.6  0.8 
 1.8  0.531131  0.8 
 1.85177  0.5  0.8 
 1.9  0.479496  0.8 
 2  0.442769  0.8 

-1.52908  2  0.8 
-1.5  1.9776  0.8 
-1.4  1.90706  0.8 
-1.38873  1.9  0.8 
-1.3  1.84042  0.8 
-1.23236  1.8  0.8 
-1.2  1.77916  0.8 
-1.1  1.72464  0.8 
-1.04348  1.7  0.8 
-1  1.6792  0.8 
-0.9  1.6465  0.8 
-0.8  1.63237  0.8 
-0.7  1.64699  0.8 
-0.611702  1.7  0.8 
-0.6  1.70852  0.8 
-0.531131  1.8  0.8 
-0.5  1.85177  0.8 
-0.479496  1.9  0.8 
-0.442769  2  0.8 


# Contour 3, label:      0.6
 0.316014 -2  0.6 
 0.337673 -1.9  0.6 
 0.363069 -1.8  0.6 
 0.393311 -1.7  0.6 
 0.4 -1.6803  0.6 
 0.437977 -1.6  0.6 
 0.5 -1.50002  0.6 
 0.6 -1.42856  0.6 
 0.7 -1.41388  0.6 
 0.8 -1.43143  0.6 
 0.9 -1.46854  0.6 
 0.960466 -1.5  0.6 
 1 -1.51858  0.6 
 1.1 -1.57747  0.6 
 1.13265 -1.6  0.6 
 1.2 -1.64287  0.6 
 1.27987 -1.7  0.6 
 1.3 -1.71338  0.6 
 1.4 -1.78762  0.6 
 1.41522 -1.8  0.6 
 1.5 -1.8648  0.6 
 1.54264 -1.9  0.6 
 1.6 -1.94465  0.6 
 1.66622 -2  0.6 

-2 -0.316014  0.6 
-1.9 -0.337673  0.6 
-1.8 -0.363069  0.6 
-1.7 -0.393311  0.6 
-1.6803 -0.4  0.6 
-1.6 -0.437977  0.6 
-1.50002 -0.5  0.6 
-1.42856 -0.6  0.6 
