
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp7.dat""
# Contour 0, label:        2
 1 -1  2 

-1 -1  2 

 1  1  2 

-1  1  2 


# Contour 1, label:      1.5
 1 -0.706897  1.5 
 0.967949 -0.75  1.5 
 0.95 -0.772581  1.5 
 0.927027 -0.8  1.5 
 0.9 -0.830303  1.5 
 0.881429 -0.85  1.5 
 0.85 -0.881429  1.5 
 0.830303 -0.9  1.5 
 0.8 -0.927027  1.5 
 0.772581 -0.95  1.5 
 0.75 -0.967949  1.5 
 0.706897 -1  1.5 

-1 -0.706897  1.5 
-0.967949 -0.75  1.5 
-0.95 -0.772581  1.5 
-0.927027 -0.8  1.5 
-0.9 -0.830303  1.5 
-0.881429 -0.85  1.5 
-0.85 -0.881429  1.5 
-0.830303 -0.9  1.5 
-0.8 -0.927027  1.5 
-0.772581 -0.95  1.5 
-0.75 -0.967949  1.5 
-0.706897 -1  1.5 

 0.706897  1  1.5 
 0.75  0.967949  1.5 
 0.772581  0.95  1.5 
 0.8  0.927027  1.5 
 0.830303  0.9  1.5 
 0.85  0.881429  1.5 
 0.881429  0.85  1.5 
 0.9  0.830303  1.5 
 0.927027  0.8  1.5 
 0.95  0.772581  1.5 
 0.967949  0.75  1.5 
 1  0.706897  1.5 

-0.706897  1  1.5 
-0.75  0.967949  1.5 
-0.772581  0.95  1.5 
-0.8  0.927027  1.5 
-0.830303  0.9  1.5 
-0.85  0.881429  1.5 
-0.881429  0.85  1.5 
-0.9  0.830303  1.5 
-0.927027  0.8  1.5 
-0.95  0.772581  1.5 
-0.967949  0.75  1.5 
-1  0.706897  1.5 


# Contour 2, label:        1
 0.95 -0.311538  1 
 0.953846 -0.3  1 
 0.967949 -0.25  1 
 0.979487 -0.2  1 
 0.988462 -0.15  1 
 0.994872 -0.1  1 
 0.998718 -0.05  1 
 1  0  1 
 0.998718  0.05  1 
 0.994872  0.1  1 
 0.988462  0.15  1 
 0.979487  0.2  1 
 0.967949  0.25  1 
 0.953846  0.3  1 
 0.95  0.311538  1 
 0.936486  0.35  1 
 0.916216  0.4  1 
 0.9  0.435294  1 
 0.892857  0.45  1 
 0.865714  0.5  1 
 0.85  0.52619  1 
 0.834848  0.55  1 
 0.8  0.6  1 
 0.759677  0.65  1 
 0.75  0.661111  1 
 0.713793  0.7  1 
 0.7  0.713793  1 
 0.661111  0.75  1 
 0.65  0.759677  1 
 0.6  0.8  1 
 0.55  0.834848  1 
 0.52619  0.85  1 
 0.5  0.865714  1 
 0.45  0.892857  1 
 0.435294  0.9  1 
 0.4  0.916216  1 
 0.35  0.936486  1 
 0.311538  0.95  1 
 0.3  0.953846  1 
 0.25  0.967949  1 
 0.2  0.979487  1 
 0.15  0.988462  1 
 0.1  0.994872  1 
 0.05  0.998718  1 
 0  1  1 
-0.05  0.998718  1 
-0.1  0.994872  1 
-0.15  0.988462  1 
-0.2  0.979487  1 
-0.25  0.967949  1 
-0.3  0.953846  1 

-0.3  0.953846  1 
-0.311538  0.95  1 
-0.35  0.936486  1 
-0.4  0.916216  1 
-0.435294  0.9  1 
-0.45  0.892857  1 
-0.5  0.865714  1 
-0.52619  0.85  1 
-0.55  0.834848  1 
-0.6  0.8  1 
-0.65  0.759677  1 
-0.661111  0.75  1 
